numbuilders 10
5 481 water
7 66 solar
7 66 wind
4 120 solar
4 120 wind
6 428 solar
1 178 water
1 178 water
3 148 solar
8 365 water
8 365 solar
10 152 water
10 152 water
10 152 solar
9 342 water
9 342 water
2 341 wind
2 341 water
5 38 water
5 38 solar
7 192 wind
7 192 water
4 409 water
4 409 solar
4 409 solar
6 183 water
6 183 water
1 394 water
3 187 water
3 187 water
3 187 water
8 310 solar
10 279 wind
9 214 water
9 214 solar
9 214 water
2 442 wind
2 442 water
5 374 solar
5 374 wind
5 374 solar
7 197 wind
7 197 wind
4 470 wind
4 470 solar
6 493 solar
6 493 solar
6 493 solar
1 451 water
1 451 solar
3 260 solar
3 260 wind
3 260 solar
8 389 solar
10 439 water
10 439 wind
10 439 solar
9 76 water
9 76 solar
9 76 solar
2 53 water
5 212 water
7 492 wind
4 330 wind
4 330 wind
4 330 wind
6 359 solar
6 359 solar
1 497 wind
1 497 wind
3 170 solar
3 170 solar
8 288 solar
8 288 water
10 112 water
10 112 wind
10 112 wind
9 127 wind
9 127 solar
2 325 solar
2 325 water
2 325 solar
5 42 water
7 136 water
7 136 solar
4 223 solar
6 97 wind
1 396 water
1 396 water
3 499 solar
3 499 water
8 444 water
8 444 wind
10 281 water
10 281 wind
10 281 solar
9 109 wind
2 500 water
2 500 solar
5 353 water
5 353 wind
7 450 wind
7 450 water
7 450 water
4 311 water
6 447 water
6 447 wind
6 447 wind
1 254 water
3 84 wind
3 84 solar
8 337 solar
8 337 water
8 337 wind
10 416 wind
9 376 water
9 376 water
9 376 wind
2 388 wind
5 218 wind
5 218 solar
5 218 wind
7 261 solar
7 261 solar
7 261 solar
4 333 wind
4 333 water
6 186 wind
1 483 water
1 483 solar
3 269 solar
3 269 solar
3 269 wind
8 328 wind
8 328 wind
10 286 wind
10 286 water
9 267 water
2 80 water
2 80 solar
5 403 water
5 403 wind
5 403 water
7 473 wind
4 455 wind
4 455 water
4 455 water
6 441 wind
1 175 wind
1 175 solar
3 155 water
3 155 water
3 155 wind
8 2 solar
10 124 solar
10 124 wind
10 124 solar
9 94 solar
2 191 water
2 191 water
5 93 solar
7 180 wind
7 180 solar
7 180 solar
4 51 solar
4 51 wind
6 77 wind
1 265 wind
3 322 wind
3 322 solar
8 198 water
10 381 solar
10 381 wind
9 243 water
9 243 water
9 243 wind
2 79 water
2 79 solar
5 222 solar
5 222 water
5 222 wind
7 238 water
7 238 water
7 238 wind
4 378 water
4 378 wind
4 378 wind
6 270 water
6 270 solar
6 270 solar
1 216 solar
1 216 solar
1 216 solar
3 211 solar
3 211 water
3 211 wind
8 147 wind
10 338 wind
9 195 water
9 195 wind
2 26 solar
5 194 water
5 194 wind
7 302 solar
4 171 solar
4 171 wind
6 387 solar
6 387 wind
1 184 solar
1 184 wind
1 184 solar
3 116 solar
8 362 wind
8 362 water
10 433 solar
9 104 wind
9 104 solar
9 104 wind
2 210 solar
2 210 wind
5 385 solar
5 385 water
5 385 solar
7 423 wind
7 423 water
7 423 water
4 5 water
6 490 solar
6 490 water
6 490 wind
1 82 solar
3 119 wind
8 357 wind
8 357 wind
10 401 wind
9 258 solar
9 258 solar
9 258 solar
2 402 water
2 402 water
2 402 wind
5 278 water
5 278 water
7 78 water
7 78 water
7 78 water
4 7 water
4 7 solar
4 7 wind
6 228 water
6 228 water
1 247 wind
1 247 solar
1 247 water
3 68 solar
8 63 water
8 63 wind
10 393 wind
9 272 water
2 386 solar
2 386 wind
2 386 water
5 474 water
5 474 solar
5 474 wind
7 324 water
7 324 water
7 324 water
4 318 water
4 318 water
4 318 water
6 6 solar
6 6 water
6 6 water
1 453 wind
1 453 wind
3 168 water
3 168 wind
8 233 solar
8 233 water
10 417 water
10 417 water
10 417 solar
9 235 solar
9 235 wind
9 235 solar
2 132 water
5 482 solar
7 488 wind
4 397 water
4 397 water
4 397 wind
6 126 wind
6 126 solar
1 461 solar
3 113 solar
8 244 wind
8 244 solar
10 133 wind
9 340 wind
9 340 water
9 340 water
2 111 solar
5 60 solar
5 60 water
7 49 wind
7 49 water
7 49 solar
4 209 water
6 8 wind
1 144 solar
1 144 water
1 144 water
3 75 water
8 313 water
8 313 wind
8 313 water
