numbuilders 5
5 21 solar
5 21 wind
2 25 water
2 25 solar
2 25 wind
3 32 water
4 39 water
4 39 solar
1 1 wind
1 1 water
1 1 water
5 22 water
5 22 wind
5 22 solar
2 33 solar
2 33 solar
2 33 wind
3 2 solar
4 47 solar
4 47 wind
1 7 wind
1 7 wind
5 9 water
5 9 water
2 11 solar
3 14 water
4 4 wind
4 4 solar
4 4 wind
1 5 solar
1 5 solar
5 19 water
5 19 wind
5 19 solar
2 27 water
2 27 water
3 30 wind
3 30 water
3 30 wind
4 24 wind
4 24 wind
1 8 wind
5 45 wind
5 45 water
2 29 solar
3 15 solar
3 15 wind
3 15 water
4 38 solar
1 6 wind
1 6 solar
5 36 solar
5 36 water
5 36 solar
2 16 solar
2 16 wind
3 31 solar
3 31 wind
3 31 solar
4 40 water
1 17 wind
1 17 water
1 17 wind
5 26 water
5 26 wind
5 26 wind
2 20 water
2 20 water
2 20 water
3 48 wind
3 48 water
4 18 wind
1 3 wind
1 3 wind
1 3 water
5 34 solar
2 42 solar
2 42 solar
3 13 wind
3 13 solar
3 13 wind
4 44 solar
4 44 solar
1 23 water
1 23 wind
1 23 wind
5 28 wind
2 49 water
2 49 water
3 37 wind
3 37 water
4 12 wind
4 12 water
4 12 wind
1 10 solar
5 35 water
5 35 water
5 35 water
2 46 water
2 46 water
3 43 wind
3 43 water
3 43 solar
4 41 water
1 50 water
1 50 water
